planid,komnr,doklink
1211069,165,https://dokument.plandata.dk/20_1211069_1506430465475.pdf
1211044,165,https://dokument.plandata.dk/20_1211044_1510910065361.pdf
1205360,165,https://dokument.plandata.dk/20_1205360_1506430630803.pdf
1208113,165,https://dokument.plandata.dk/20_1208113_1506667854575.pdf
1208108,165,https://dokument.plandata.dk/20_1208108_APPROVED_1248338809371.pdf
1203898,165,https://dokument.plandata.dk/20_1203898_APPROVED_1247045579194.pdf
1061182,230,https://dokument.plandata.dk/20_1061182_1511771967355.pdf
1061735,230,https://dokument.plandata.dk/20_1061735_APPROVED_1197897006289.pdf
1206268,230,https://dokument.plandata.dk/20_1206268_APPROVED_1246972858381.pdf
1205359,230,https://dokument.plandata.dk/20_1205359_APPROVED_1246882819279.pdf
1207295,230,https://dokument.plandata.dk/20_1207295_APPROVED_1247044391756.pdf
1177897,230,https://dokument.plandata.dk/20_1177897_APPROVED_1243424387226.pdf
1178124,230,https://dokument.plandata.dk/20_1178124_APPROVED_1243425773683.pdf
1030722,230,https://dokument.plandata.dk/20_1030722_1505301117405.pdf
1061011,230,https://dokument.plandata.dk/20_1061011_APPROVED_1197898024148.pdf
3487933,169,https://dokument.plandata.dk/20_3487933_1534747915378.pdf
3286702,183,https://dokument.plandata.dk/20_3286702_1523294296040.pdf
1205765,230,https://dokument.plandata.dk/20_1205765_APPROVED_1246955285698.pdf
185212,223,https://dokument.plandata.dk/20_185212_1514996965571.pdf
9418731,269,https://dokument.plandata.dk/20_9418731_1536569791326.pdf
3266638,230,https://dokument.plandata.dk/20_3266638_1515000045425.pdf
2962919,230,https://dokument.plandata.dk/20_2962919_1505301870219.pdf
1218564,183,https://dokument.plandata.dk/20_1218564_1461662312575.pdf
2930520,230,https://dokument.plandata.dk/20_2930520_1505302009594.pdf
2180599,230,https://dokument.plandata.dk/20_2180599_1505307317792.pdf
1752168,230,https://dokument.plandata.dk/20_1752168_1505733620699.pdf
9417583,269,https://dokument.plandata.dk/20_9417583_1536571419469.pdf
181839,223,https://dokument.plandata.dk/20_181839_APPROVED_1158425638402.pdf
1470655,230,https://dokument.plandata.dk/20_1470655_1505305100803.pdf
1177537,230,https://dokument.plandata.dk/20_1177537_APPROVED_1243416114853.pdf
1375674,230,https://dokument.plandata.dk/20_1375674_1505303540988.pdf
1103888,230,https://dokument.plandata.dk/20_1103888_APPROVED_1291038329859.pdf
1208101,165,https://dokument.plandata.dk/20_1208101_1506923616650.pdf
3543536,230,https://dokument.plandata.dk/20_3543536_1524079005582.pdf
1205150,165,https://dokument.plandata.dk/20_1205150_DRAFT_1246870818102.pdf
175930,169,https://dokument.plandata.dk/20_175930_APPROVED_1162452662390.pdf
1060736,230,https://dokument.plandata.dk/20_1060736_APPROVED_1197013851126.pdf
1369005,230,https://dokument.plandata.dk/20_1369005_1505303641738.pdf
1208030,165,https://dokument.plandata.dk/20_1208030_APPROVED_1248941973380.pdf
1060959,230,https://dokument.plandata.dk/20_1060959_APPROVED_1197021664769.pdf
1060740,230,https://dokument.plandata.dk/20_1060740_APPROVED_1197015277433.pdf
1206236,230,https://dokument.plandata.dk/20_1206236_APPROVED_1310126399637.pdf
1206235,230,https://dokument.plandata.dk/20_1206235_APPROVED_1310126371949.pdf
